Ref,Val,Package,PosX,PosY,Rot,Side
"C1,""0.1uF"",""C_0402_1005Metric"",120.836000,-103.620000,180.000000,top"
"C2,""10uF"",""C_0402_1005Metric"",118.832000,-103.620000,180.000000,top"
"C3,""1uF"",""C_0402_1005Metric"",112.866000,-99.293500,-90.000000,top"
"C4,""10uF"",""C_0402_1005Metric"",116.800000,-103.620000,0.000000,top"
"C5,""1uF"",""C_0402_1005Metric"",114.808000,-92.880000,-90.000000,top"
"C6,""10uF"",""C_0402_1005Metric"",120.864000,-104.890000,180.000000,top"
"C7,""0.1uF"",""C_0402_1005Metric"",118.804000,-104.866000,180.000000,top"
"C8,""0.1uF"",""C_0402_1005Metric"",116.800000,-104.890000,180.000000,top"
"C9,""10uF"",""C_0402_1005Metric"",112.796000,-106.640000,-90.000000,top"
"C10,""0.1uF"",""C_0402_1005Metric"",124.742000,-75.692000,0.000000,top"
"C11,""0.1uF"",""C_0402_1005Metric"",107.442000,-75.692000,0.000000,top"
"C12,""22pF"",""C_0402_1005Metric"",117.602000,-106.640000,90.000000,top"
"C13,""22pF"",""C_0402_1005Metric"",115.484000,-106.640000,90.000000,top"
"D1,""1N5819WS"",""D_SOD-323"",120.650000,-80.518000,90.000000,top"
"D2,""LESD5D5.0CT1G"",""D_SOD-523"",114.300000,-80.518000,-90.000000,top"
"D3,""LESD5D5.0CT1G"",""D_SOD-523"",116.332000,-80.518000,-90.000000,top"
"D4,""LESD5D5.0CT1G"",""D_SOD-523"",118.364000,-80.518000,-90.000000,top"
"J4,""USB_B_Mini"",""USB_Mini-B_Lumberg_2486_01_Horizontal"",115.992000,-73.660000,180.000000,top"
"Q1,""L8050QLT1G"",""SOT-23"",110.616000,-100.177500,90.000000,top"
"Q2,""L8050QLT1G"",""SOT-23"",110.630000,-96.317500,90.000000,top"
"R1,""10K"",""R_0402_1005Metric"",112.866000,-101.353500,90.000000,top"
"R2,""10K"",""R_0402_1005Metric"",114.214000,-106.640000,90.000000,top"
"R3,""10K"",""R_0402_1005Metric"",112.944500,-97.291500,90.000000,top"
"R4,""10K"",""R_0402_1005Metric"",112.946000,-95.287500,90.000000,top"
"R5,""10K"",""R_0402_1005Metric"",116.402000,-92.880000,90.000000,top"
"R6,""1K"",""R_0402_1005Metric"",113.284000,-92.882000,-90.000000,top"
"R7,""0(1%)"",""R_0402_1005Metric"",116.012000,-83.084000,90.000000,top"
"R8,""0(1%)"",""R_0402_1005Metric"",117.536000,-83.084000,90.000000,top"
"R9,"" 47.5K"",""R_0402_1005Metric"",119.634000,-92.910000,90.000000,top"
"R10,""22.1K"",""R_0402_1005Metric"",118.110000,-92.910000,90.000000,top"
"R11,""0(1%)"",""R_0402_1005Metric"",110.998000,-80.264000,90.000000,top"
"R12,""0(1%)"",""R_0402_1005Metric"",116.586000,-106.680000,90.000000,top"
"R13,""0(1%)"",""R_0402_1005Metric"",119.040000,-106.640000,90.000000,top"
"R14,""0(1%)"",""R_0402_1005Metric"",112.522000,-80.264000,90.000000,top"
"SW1,""SW_Omron_B3FS"",""SW_SPST_B3U-1000P"",107.442000,-72.644000,-90.000000,top"
"SW2,""SW_Omron_B3FS"",""SW_SPST_B3U-1000P"",124.460000,-72.644000,-90.000000,top"
"U1,""ESP32-C3-MINI-1"",""ESP32-C3-MINI-1"",116.218000,-117.180000,180.000000,top"
"U2,""CP2102N-Axx-xQFN28"",""QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm"",116.520000,-87.910000,0.000000,top"
"U3,""AMS1117-3.3"",""SOT-223-3_TabPin2"",119.110000,-98.650000,90.000000,top"
