"Reference","Value","Footprint","Datasheet","Sim.Device","Sim.Pins","Qty"
"C1, C7, C8, C10, C11","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","","","5"
"C2, C4, C6, C9","10uF","Capacitor_SMD:C_0402_1005Metric","~","","","4"
"C3, C5","1uF","Capacitor_SMD:C_0402_1005Metric","~","","","2"
"C12, C13","22pF","Capacitor_SMD:C_0402_1005Metric","~","","","2"
"D1","1N5819WS","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","","","1"
"D2-D4","LESD5D5.0CT1G","Diode_SMD:D_SOD-523","http://www.mouser.com/ds/2/149/1N4148WT-461550.pdf","D","1=K 2=A","3"
"J1, J2","Screw_Terminal_01x15","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~","","","2"
"J4","USB_B_Mini","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~","","","1"
"Q1, Q2","L8050QLT1G","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BC846_SER.pdf","","","2"
"R1-R5","10K","Resistor_SMD:R_0402_1005Metric","~","","","5"
"R6","1K","Resistor_SMD:R_0402_1005Metric","~","","","1"
"R7, R8, R11-R14","0(1%)","Resistor_SMD:R_0402_1005Metric","~","","","6"
"R9"," 47.5K","Resistor_SMD:R_0402_1005Metric","~","","","1"
"R10","22.1K","Resistor_SMD:R_0402_1005Metric","~","","","1"
"SW1, SW2","SW_Omron_B3FS","Button_Switch_SMD:SW_SPST_B3U-1000P","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","","2"
"U1","ESP32-C3-MINI-1","PCM_Espressif:ESP32-C3-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-c3-mini-1_datasheet_en.pdf","","","1"
"U2","CP2102N-Axx-xQFN28","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","","","1"
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","1"
